,slice_index,sam_dice,sam_precision,sam_recall,sam_HD100,sam_AVG_dist,medsam_dice,medsam_precision,medsam_recall,medsam_HD100,medsam_AVG_dist
BraTS2021_00030,63,0.33690360272638753,0.6290909090909091,0.2300531914893617,20.518284528683193,4.191059956830561,0.7366818873668188,0.88,0.6335078534031413,6.708203932499369,1.2216112442255749
BraTS2021_00031,92,0.7991360691144709,0.9780966767371602,0.6755346896191967,64.07807737440318,3.613320890880437,0.8266774236923491,0.7739174219536757,0.8871572871572871,9.219544457292887,1.2912275146027088
BraTS2021_00032,110,0.5904944791166586,0.9967585089141004,0.4195088676671214,16.76305461424021,3.6414425260868883,0.7624309392265194,0.7828200972447326,0.7430769230769231,8.602325267042627,1.210236439367891
BraTS2021_00033,76,0.7170690385429903,0.955957086391869,0.5737038292104372,17.204650534085253,2.0363565995541957,0.6702702702702703,0.5951439864483343,0.7671033478893741,15.0,2.064358706286276
BraTS2021_00035,75,0.6643518518518519,0.9965277777777778,0.4982638888888889,11.0,2.0405906905653532,0.40789473684210525,0.4305555555555556,0.3875,11.045361017187261,3.192270126899211
BraTS2021_00036,61,0.8728888888888889,0.9806924101198402,0.7864388681260011,18.35755975068582,3.0752152655366567,0.9471082550667326,0.9567243675099867,0.9376835236541599,19.924858845171276,1.5485497848059695
BraTS2021_00043,40,0.8930795847750865,0.9395704404805242,0.8509726343554237,11.180339887498949,1.432248012504528,0.9296814296814296,0.8711321441572625,0.9966680549770929,10.04987562112089,1.0434020897635021
BraTS2021_00044,94,0.9331436699857752,0.9805680119581465,0.8900949796472184,4.47213595499958,0.4447915934559582,0.9004149377593361,0.9730941704035875,0.8378378378378378,5.830951894845301,0.7583634329609981
BraTS2021_00045,74,0.6153846153846154,0.7138047138047138,0.5408163265306123,11.313708498984761,2.2750596098986926,0.8538461538461538,0.7474747474747475,0.9955156950672646,3.1622776601683795,0.6166474369721635
BraTS2021_00046,95,0.8808,0.9557291666666666,0.8167655786350149,16.0,1.5468603986571132,0.9465783664459161,0.9305555555555556,0.963162623539982,3.0,0.44816795495251516
BraTS2021_00048,50,0.6266886326194399,0.7366382649109218,0.5452981651376146,22.47220505424423,5.342118666536263,0.5727466288147622,0.6250968241673122,0.5284872298624754,22.847319317591726,5.005767263743581
BraTS2021_00049,69,0.2160168598524763,1.0,0.12108682811577082,17.72004514666935,4.379354970212361,0.20204313280363223,0.43414634146341463,0.13165680473372782,17.0,6.92097125720329
BraTS2021_00051,71,0.6920436817472699,0.9853398489560196,0.5333012743447945,21.095023109728988,3.4288316261577303,0.8139347563431333,0.8978231896934695,0.7443830570902394,10.198039027185569,1.292122057286597
BraTS2021_00052,100,0.9370735405610311,0.9793977812995246,0.8982558139534884,27.586228448267445,0.7438246143424418,0.8944723618090452,0.9873217115689382,0.8175853018372703,4.47213595499958,0.5681166495596124
BraTS2021_00053,118,0.791389848525113,0.9867461895294898,0.660603371783496,13.45362404707371,2.0665049904168047,0.898581560283688,0.8396288933068257,0.9664378337147216,12.529964086141668,1.2133958950751462
BraTS2021_00054,88,0.8022381535233433,0.9736842105263158,0.6821290514421647,19.79898987322333,3.5475803308484513,0.8981298129812981,0.8662988115449916,0.9323892188213796,8.06225774829855,1.1438831407805015
BraTS2021_00056,58,0.8606140206862584,0.99695701787752,0.7570768341998845,19.235384061671343,2.1776582830831552,0.7746724890829695,0.6747812856599468,0.9092772936955408,11.661903789690601,2.6968734811588697
BraTS2021_00058,68,0.6835926835926835,0.937125748502994,0.538031800601633,23.323807579381203,3.1803765585420694,0.6792088760250844,0.5269461077844312,0.9552238805970149,17.204650534085253,3.0176037087659457
BraTS2021_00059,100,0.685415829650462,0.9930151338766007,0.5233128834355828,21.633307652783937,3.6833406236112776,0.8406692406692406,0.9505238649592549,0.753576372865713,9.219544457292887,1.4161536560308423
BraTS2021_00060,39,0.7549467275494672,0.9655172413793104,0.6197786504819707,18.35755975068582,1.952557101788075,0.7729715894548247,0.8398220244716351,0.7159791370317686,20.248456731316587,3.3779047701819525
BraTS2021_00061,50,0.41852931648850017,0.9150141643059491,0.27131457370852585,25.612496949731394,6.749431281671738,0.738728323699422,0.9050991501416431,0.6240234375,7.211102550927978,1.6330367824096659
BraTS2021_00062,94,0.9347826086956522,0.9609914668833808,0.9099653712966526,9.0,0.683833609881231,0.9020471054369359,0.8325883787078423,0.984149855907781,6.0,0.7943415458065646
BraTS2021_00063,115,0.8585231193926847,0.7755610972568578,0.9613601236476044,8.06225774829855,1.3180292764790473,0.8375950241879752,0.7556109725685786,0.9395348837209302,8.06225774829855,1.2454770660603467
